Tran Id,Tran Date,Remarks,Amount (Rs.),Balance (Rs.)
TR100115,26/04/2023,Travel Booking,37883.00 (Dr),2576152
TR100116,27/04/2023,IMPS Transfer,76534.00 (Cr),2652686
TR100117,28/04/2023,UPI/Payment to Merchant,13517.00 (Dr),2639169
TR100118,29/04/2023,Stock Profit Credit,78193.00 (Cr),2717362
TR100119,30/04/2023,Luxury Shopping,62357.00 (Cr),2779719
TR100120,01/05/2023,NEFT Salary Credit,68137.00 (Dr),2711582
TR100121,02/05/2023,IMPS Transfer,64465.00 (Cr),2776047
TR100122,03/05/2023,UPI Transfer to Friend,59950.00 (Cr),2835997
TR100123,04/05/2023,Credit Card Bill Payment,42788.00 (Dr),2793209
TR100124,05/05/2023,Investment Dividend,35856.00 (Cr),2829065
TR100125,06/05/2023,NEFT Salary Credit,48723.00 (Cr),2877788
TR100126,07/05/2023,Credit Card Bill Payment,25847.00 (Dr),2851941
TR100127,08/05/2023,Travel Booking,59071.00 (Cr),2911012
TR100128,09/05/2023,IMPS Transfer,4502.00 (Cr),2915514
TR100129,10/05/2023,UPI/Payment to Merchant,50534.00 (Cr),2966048
TR100130,11/05/2023,UPI/Payment to Merchant,55497.00 (Dr),2910551
TR100131,12/05/2023,UPI Transfer to Friend,37721.00 (Dr),2872830
TR100132,13/05/2023,Credit Card Bill Payment,31528.00 (Cr),2904358
TR100133,14/05/2023,Luxury Shopping,30381.00 (Dr),2873977
TR100134,15/05/2023,Luxury Shopping,6946.00 (Cr),2880923
TR100135,16/05/2023,Investment Dividend,18489.00 (Cr),2899412
TR100136,17/05/2023,NEFT Salary Credit,7278.00 (Dr),2892134
TR100137,18/05/2023,Investment Dividend,24740.00 (Dr),2867394
TR100138,19/05/2023,NEFT Salary Credit,15058.00 (Dr),2852336
TR100139,20/05/2023,NEFT Salary Credit,46196.00 (Cr),2898532
TR100140,21/05/2023,Investment Dividend,21227.00 (Cr),2919759
TR100141,22/05/2023,UPI Transfer to Friend,15954.00 (Cr),2935713
TR100142,23/05/2023,Stock Profit Credit,48505.00 (Dr),2887208
TR100143,24/05/2023,Stock Profit Credit,74420.00 (Dr),2812788
TR100144,25/05/2023,UPI Transfer to Friend,71857.00 (Dr),2740931
TR100145,26/05/2023,IMPS Transfer,70083.00 (Dr),2670848
TR100146,27/05/2023,Travel Booking,56247.00 (Dr),2614601
TR100147,28/05/2023,UPI/Payment to Merchant,33077.00 (Cr),2647678
TR100148,29/05/2023,Travel Booking,61164.00 (Cr),2708842
TR100149,30/05/2023,UPI Transfer to Friend,6890.00 (Cr),2715732
